TimeStep,AccelerationY_1,AccelerationY_10,AccelerationY_11,AccelerationY_12,AccelerationY_13,AccelerationY_14,AccelerationY_15,AccelerationY_16,AccelerationY_17,AccelerationY_18,AccelerationY_2,AccelerationY_3,AccelerationY_4,AccelerationY_5,AccelerationY_6,AccelerationY_7,AccelerationY_8,AccelerationY_9,PositionY_1,PositionY_10,PositionY_11,PositionY_12,PositionY_13,PositionY_14,PositionY_15,PositionY_16,PositionY_17,PositionY_18,PositionY_2,PositionY_3,PositionY_4,PositionY_5,PositionY_6,PositionY_7,PositionY_8,PositionY_9,VelocityY_1,VelocityY_10,VelocityY_11,VelocityY_12,VelocityY_13,VelocityY_14,VelocityY_15,VelocityY_16,VelocityY_17,VelocityY_18,VelocityY_2,VelocityY_3,VelocityY_4,VelocityY_5,VelocityY_6,VelocityY_7,VelocityY_8,VelocityY_9
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454
2,-3.6273546000000003,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.4186315,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,11.7452908,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454
3,-3.5935998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-1.7910032000000005,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,0.5544929,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.6874475,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,8.151691,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,13.0416422,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455
4,-2.59035,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-3.0420072000000005,-1.6979571,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,0.6471815,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.8541078,0.9182089999999999,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,5.561341,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,9.999635,12.5946884,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455
5,-1.6977273899999998,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-3.2248647399999992,-2.8559134000000004,-1.5736589999999993,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.7115754999999999,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,0.9670209,1.0805215,1.1404914,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,3.86361361,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,6.77477026,9.738775,12.1789865,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455
6,-1.37227774,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-2.0845392600000006,-3.14561532,-2.6073185,-1.4423036000000007,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,0.7530975,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.0451917,1.1904077,1.3000192,1.3538923,1.3689308,1.3689308,1.3689308,1.3689308,2.49133587,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,4.690231,6.59315968,9.571668,11.7703419,12.6726456,12.6726456,12.6726456,12.6726456
7,-1.22477365,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.4911796199999996,-2.02140904,-3.092467000000001,-2.3264619,-1.3191318999999986,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.7742070999999999,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.0985088,1.2666034,1.4080057,1.5112904999999999,1.5581559999999999,1.5711412,1.5711412,1.5711412,1.26656222,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,3.19905138,4.57175064,6.479201,9.44388,11.3535137,12.1326456,12.1326456,12.1326456
8,-1.12278023,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.2989405400000003,-1.4692044200000005,-1.9825545999999994,-2.7413076499999995,-2.054359700000001,-1.2105721999999997,-0.5399999999999991,-0.5399999999999991,0.7766041,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.1301775,1.3183126,1.4829501999999999,1.6230001,1.7131414,1.7531757,1.7643518,1.7643518,0.14378199,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,1.90011084,3.10254622,4.4966464,6.7025723500000005,9.299154,10.9220734,11.5926456,11.5926456
9,-1.08061459,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-1.1700396400000002,-1.2884658599999996,-1.4561245400000002,-2.0592746800000006,-2.404172,-1.8091743999999998,-1.1094284000000005,-0.5399999000000015,0.7609901,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.9485625999999998,1.1423454,1.3485469,1.5336256,1.7003879,1.8280582,1.9050569,1.9390716000000001,1.9485625999999998,-0.9368325999999999,11.0526457,11.0526457,11.0526457,11.0526457,11.0526457,11.0526457,11.0526457,11.0526457,11.0526457,0.7300711999999999,1.8140803600000002,3.04052186,4.64329767,6.894982,9.112899,10.4832172,11.0526457
10,-1.0799999900000001,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.094994528,-1.1628435280000002,-1.2817790500000001,-1.48228121,-2.1270553099999994,-2.1037290000000004,-1.5972901999999998,-1.0198257000000002,0.7273759,2.1237735,2.1237735,2.1237735,2.1237735,2.1237735,2.1237735,2.1237735,2.1237735,2.1237735,1.1362641,1.3594007,1.5629377,1.7530717,1.9075240999999998,2.0218763,2.0871706,2.115776,-2.01683259,10.5126457,10.5126457,10.5126457,10.5126457,10.5126457,10.5126457,10.5126457,10.5126457,10.5126457,-0.36492332800000005,0.651236832,1.75874281,3.16101646,4.76792669,7.00917,8.885927,10.03282
11,-1.0799999200000001,-0.9421587000000002,-0.539999700000001,-0.539999700000001,-0.539999700000001,-0.539999700000001,-0.539999700000001,-0.539999700000001,-0.539999700000001,-0.539999700000001,-1.079999952,-1.092022432,-1.1583336100000001,-1.29480266,-1.5064566900000003,-1.9551179999999997,-1.8450220000000002,-1.4175809999999984,0.6757620999999999,2.2832813,2.2899846999999998,2.2899846999999998,2.2899846999999998,2.2899846999999998,2.2899846999999998,2.2899846999999998,2.2899846999999998,2.2899846999999998,1.1121816,1.3520541,1.5729446,1.7841749,1.9618816,2.1061104999999998,2.2045192,2.2593631,-3.09683251,9.570487,9.972646,9.972646,9.972646,9.972646,9.972646,9.972646,9.972646,9.972646,-1.44492328,-0.4407856,0.6004092,1.8662138,3.26147,5.054052,7.040905,8.615239
12,-1.0800001700000004,-1.2665404999999996,-0.8756499999999985,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.08000004,-1.0799999700000003,-1.090269019,-1.167178036,-1.30575554,-1.5683400000000005,-1.77020073,-1.6251352800000003,0.6061487,2.4216804,2.4416017,2.447195,2.447195,2.447195,2.447195,2.447195,2.447195,2.447195,1.0700998,1.3267077999999999,1.5647802,1.7958259,1.9944772,2.1642055,2.2923641,2.3758649,-4.17683268,8.3039465,9.096996,9.432646,9.432646,9.432646,9.432646,9.432646,9.432646,9.432646,-2.52492332,-1.5207855700000001,-0.48985981900000003,0.699035764,1.95571446,3.485712,5.27070427,6.9901037200000005
13,-1.0799999199999997,-1.4396955,-1.1400982600000003,-0.8190880000000007,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.07999993,-1.0799999199999997,-1.080000041,-1.093788164,-1.174805995,-1.3304302199999998,-1.5537359700000004,-1.5959000600000008,0.5185346,2.5360841,2.5742168,2.5907541,2.5954055,2.5954055,2.5954055,2.5954055,2.5954055,2.5954055,1.0100173,1.2833614,1.5386161,1.7892465,2.007492,2.2001266,2.3543141,2.4657688,-5.2568326,6.864251,7.9568977400000005,8.613558,8.892646,8.892646,8.892646,8.892646,8.892646,8.892646,-3.60492325,-2.60078549,-1.56985986,-0.3947524,0.780908465,2.15528178,3.7169683,5.39420366
14,-1.0799999199999997,-1.437404,-1.2839493800000001,-1.0344259999999998,-0.771196999999999,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.0799997499999994,-1.07999993,-1.0800001400000003,-1.08000003,-1.097070932,-1.1926116800000002,-1.3560414299999999,-1.4458265299999997,0.4129209,2.6265316,2.6854324,2.7170734,2.7307634,2.7346162,2.7346162,2.7346162,2.7346162,2.7346162,0.9319352999999999,1.2220153,1.4944515,1.7646674999999998,2.002223,2.2161712,2.3936624,2.5315752,-6.33683252,5.426847,6.67294836,7.5791319999999995,8.121449,8.352646,8.352646,8.352646,8.352646,8.352646,-4.6849229999999995,-3.68078542,-2.6498600000000003,-1.4747524300000001,-0.316162467,0.9626701,2.36092687,3.94837713
15,-1.0799999300000005,-1.33794929,-1.2968253600000006,-1.1534669999999991,-0.9462094400000005,-0.7307826300000002,-0.54,-0.54,-0.54,-0.54,-1.08,-1.0800001600000004,-1.0799998299999998,-1.0799999200000001,-1.0800000429999999,-1.1054827,-1.21199787,-1.36231713,0.28930659999999997,2.6946802,2.7750349,2.8241682,2.8503503,2.8616476,2.8648271,2.8648271,2.8648271,2.8648271,0.8358534999999999,1.1426687,1.4322872,1.7220878,1.9789533,2.2137908,2.4128112,2.5746765,-7.41683245,4.08889771,5.376123,6.425665,7.17523956,7.62186337,7.812646,7.812646,7.812646,7.812646,-5.764923,-4.76078558,-3.72985983,-2.5547523500000002,-1.39616251,-0.14281259999999998,1.148929,2.58606
16,-1.0800005500000003,-1.2721984400000004,-1.2345129999999997,-1.1743384400000005,-1.04441556,-0.8726983700000002,-0.6968059999999996,-0.54,-0.54,-0.54,-1.08,-1.0799999199999997,-1.0799999200000001,-1.0799999199999997,-1.0799999200000001,-1.07999993,-1.1156265900000002,-1.2342628999999998,0.14769259999999998,2.7416248,2.8440618,2.9116907,2.9525308,2.9741334,2.9834240999999997,2.9860382,2.9860382,2.9860382,0.7217712,1.0453224,1.3521231999999999,1.6615085,1.9376840999999998,2.1934108,2.4133663,2.5972061,-8.496833,2.81669927,4.14161,5.25132656,6.130824,6.749165,7.11584,7.272646,7.272646,7.272646,-6.844923,-5.8407855,-4.80985975,-3.63475227,-2.47616243,-1.2228125300000001,0.03330241,1.3517971
17,-1.08,-1.2554251,-1.1897946299999997,-1.13883856,-1.0691109999999995,-0.9536069999999999,-0.8116480000000008,-0.6683845999999996,-0.6580649999999997,-0.6580649999999997,-1.08,-1.0799999300000005,-1.0799999299999996,-1.07999973,-1.07999993,-1.0800000499999998,-1.0800332899999998,-1.1283067869999999,-0.011921,2.7676458,2.893259,2.9802322,3.0368928,3.0707263,3.0884941,3.0961093,3.096281,3.096281,0.5896892,0.9299763999999999,1.2539587,1.5829296,1.8784151,2.1550302,2.3959207,2.6009311,-9.576833,1.56127417,2.9518153700000003,4.112488,5.061713,5.795558,6.304192,6.6042614,6.614581,6.614581,-7.924923,-6.9207854300000005,-5.88985968,-4.714752,-3.55616236,-2.30281258,-1.04673088,0.22349031300000002
18,-1.0799997000000001,-1.14304459,-1.1827380700000003,-1.1145267199999997,-1.0530249999999999,-0.9799084899999997,-0.8784493699999993,-0.7612519300000002,-0.7439540000000004,-0.7439540000000004,-1.08,-1.0800005699999993,-1.0799999199999997,-1.08,-1.0799999199999997,-1.0799999200000001,-1.08000012,-1.081474113,-0.1895352,2.7746162,2.9227441,3.0301981,3.1037041,3.1509876,3.1789236,3.1934928,3.1941251,3.1941251,0.4396076,0.7966299,1.1377941,1.48635,1.8011455,2.0986499,2.3604755,2.5866317,-10.6568327,0.41822958,1.7690773,2.99796128,4.008688,4.81564951,5.42574263,5.84300947,5.870627,5.870627,-9.004923,-8.000786,-6.9698595999999995,-5.794752,-4.63616228,-3.3828125,-2.126731,-0.8579838
19,-1.079999899999999,-1.08506958,-1.1591686,-1.11449086,-1.0469584700000003,-0.9782257100000002,-0.90542794,-0.8168620999999998,-0.7963119999999995,-0.7963119999999995,-1.0799997999999995,-1.08,-1.0800004000000012,-1.08,-1.07999972,-1.0799999199999997,-1.0799998400000002,-1.08000007,-0.38514899999999996,2.7635021,2.932909,3.0615892,3.1530666,3.2149448,3.2542619,3.2772617,3.278697,3.278697,0.27152529999999997,0.6452840999999999,1.0036306,1.3717708,1.7058763,2.02427,2.3070297,2.5543317,-11.7368326,-0.6668400000000001,0.6099087,1.88347042,2.96172953,3.8374238,4.52031469,5.02614737,5.074315,5.074315,-10.0849228,-9.080786,-8.04986,-6.874752,-5.716162,-4.46281242,-3.20673084,-1.93798387
